id,topic,characters,theme,video_type,target_minutes,narrator_pov,setting,audience,made_for_kids,script,title,description,status,video_url,created_at,scene_prompts,image_status,audio_status,youtube_status,youtube_video_id,video_file_path,error_message
ND-HOR-012,"A man working remote from a rented cabin starts receiving handwritten notes under his door, each one knowing something he hasn't told anyone","the narrator, an unseen note-writer","privacy is a feeling, not a guarantee",horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a remote rented cabin,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-013,A woman working an overnight call-center hotline starts getting calls from a number disconnected after a tragedy years ago,"the call-center worker, an unseen caller",some lines never fully close,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a call center at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-014,A family discovers their new smart-home system has logs of conversations from before they ever moved in,"the family, the home's previous occupants",a house remembers more than it should,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a newly purchased smart home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-015,"A man caretaking a remote lighthouse finds the previous keeper's logbook ending mid-sentence, on tonight's date","the caretaker, the previous keeper",some shifts never officially end,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a remote lighthouse,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-001,A woman spends a year quietly building the case that ends her husband's affair and his career in the same week,"the narrator, her husband, his coworker",patience can be its own kind of justice,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet suburban home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-002,"A man discovers his business partner has been skimming the company for years, and plans the exact way he'll find out","the narrator, his business partner",trust is the easiest thing to weaponize against someone,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a small business office,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-003,"A woman lets her sister believe she's forgiven her, while quietly building toward a confrontation at the worst possible moment","the narrator, her sister",forgiveness can be a performance worth waiting out,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a family home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-004,"A man finds out his best friend has been the one spreading rumors about him for a decade, and finally has proof","the narrator, his best friend",the closest people have the longest reach,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a small town,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-005,"A woman discovers her mother-in-law has been quietly poisoning her marriage with lies, and decides to expose it at Thanksgiving","the narrator, her mother-in-law, her husband",some dinners are worth ruining on purpose,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a family home at a holiday gathering,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-006,A man realizes his roommate has been stealing from him for months and sets a trap that backfires into something bigger,"the narrator, his roommate",a small trap can catch a much bigger lie,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a shared city apartment,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-007,"A woman uncovers that her fiance has a second apartment, a second phone, and a second life, three weeks before the wedding","the narrator, her fiance",a wedding date is just a deadline for the truth,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a city apartment,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-008,"A man's coworker has been taking credit for his ideas for years, until one meeting changes everything","the narrator, the coworker",credit eventually finds its way back to its source,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a corporate office,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-009,"A woman discovers the real reason her dream job offer fell through, and exactly who was behind it","the narrator, a former colleague","some doors are closed by people, not circumstances",confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a corporate office,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-010,A man finally gets the proof that his neighbor has been the one vandalizing his property for two years,"the narrator, his neighbor",patience and a camera can outlast denial,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet suburban street,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-011,"A woman lets her toxic landlord think he's won, while quietly building a legal case that ends his business","the narrator, her landlord",paperwork can be its own form of justice,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a rented city apartment,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-012,"A man discovers his wife's girls' trips were never with the girls, and decides exactly how she'll find out he knows","the narrator, his wife",knowing is not the same as reacting right away,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a suburban home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-013,"A woman realizes her business partner forged her signature on a deal that nearly ruined her, and plans how to take it all back","the narrator, her business partner","a forged signature is still proof, just pointed the wrong way",confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a small business office,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-014,"A man spends months proving his brother has been lying to their dying mother for an inheritance, and reveals it at the worst possible time","the narrator, his brother, their mother",some truths are owed to the people running out of time,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a family home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-CONF-015,A woman discovers the real reason her supportive friend always showed up right when something good happened to her,"the narrator, her friend",support can be a strategy instead of a kindness,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet apartment,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-016,A man's location history shows a 3 a.m. drive he has no memory of taking,the narrator,the body remembers what the mind refuses to,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact","an empty kitchen at dawn, phone in hand",general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-017,A woman's smart thermostat keeps resetting itself to a schedule she never programmed,"the narrator, the house itself",a house can hold a routine longer than the people who left it,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet house in late autumn,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-018,A man finds a voicemail saved on his phone that was never marked as received,the narrator,some messages arrive before you're ready to hear them,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a parked car outside a closed office,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-019,A woman's neighbor casually references a conversation the two of them never had,"the narrator, the neighbor",memory is supposed to be the one thing that's only yours,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a shared driveway at dusk,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-020,A man's bank statement shows a small recurring charge labeled with his late wife's name,"the narrator, his late wife","grief keeps its own accounting, whether you balance it or not",short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a kitchen table covered in mail,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-021,A woman's fitness tracker logs a long walk taken while she was certain she was asleep,the narrator,you don't always get to choose what part of you is awake,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a bedroom just after sunrise,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-022,A man discovers a sent email to his boss in his outbox that he never wrote,"the narrator, his boss",something else knows exactly how to sound like you,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a home office late at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-023,A woman finds her front door unlocked every morning despite checking it twice each night,the narrator,the small rituals are the first thing that stop protecting you,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a front hallway at 6 a.m.,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-024,A man's car radio keeps tuning itself to the exact song that was playing the night everything changed,the narrator,a memory will find a way back in through whatever door is open,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact","a car idling at a red light, late evening",general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-025,"A woman's old laptop powers itself on at the same time every night, screen dark, fan running",the narrator,things we put away rarely stay as off as we think,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a closed-up spare room,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-026,"A man's doorbell camera shows someone standing motionless outside for hours, gone before sunrise",the narrator,patience is its own kind of threat,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet suburban porch overnight,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-027,"A woman's calendar has a recurring appointment titled with just a question mark, every year on the same date",the narrator,the past keeps its own version of your schedule,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact","a home office, scrolling through old calendar entries",general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-028,"A man receives a package he never ordered, addressed to him in his own handwriting",the narrator,you can't always trust that a decision was entirely yours to begin with,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",an apartment doorstep in the evening,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-029,"A woman's phone autocorrects her own name to someone else's, every single time she types it",the narrator,identity is more fragile than it ever feels day to day,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact","a bedroom, typing a text late at night",general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-030,A man's home security footage shows him standing in two rooms of the house at the exact same timestamp,the narrator,you don't get to verify your own alibi,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact","a living room, reviewing security footage alone",general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-101,"My smart doorbell started sending me clips timestamped 3:07 AM every night, and last night the person in them turned and waved at the camera",the narrator,being watched by something that knows you watch back,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a suburban front porch at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-102,"The baby monitor kept logging 47 minutes of 'motion detected' in the nursery every night, always starting the second we fell asleep","the narrator, her husband, the baby",the house knows your sleep schedule,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a dark nursery lit by a monitor LED,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-103,"My phone's screen-time report showed 2 hours of camera use every night between 2 and 4 AM, and the gallery was empty",the narrator,your own devices keeping secrets from you,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a bedroom lit only by a charging phone,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-104,"I run the night desk at St. Verick's, and the fourth-floor camera keeps a 90-second gap in its recording at the exact same minute every night — last week I stayed up and watched what the camera refuses to","Adam, the night guard",the things machines are built to not see,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",an aging hospital security office at 3 AM,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-105,"After my father died, his dashcam kept uploading new 12-minute drives every Sunday — same route, ending at a house none of us recognize","the narrator, her late father",grief that leaves a GPS trail,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a rain-streaked parked car and a quiet cul-de-sac,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-106,The nursing home gave us access to mom's room camera; every night at lights-out she looks straight into the lens and mouths the same sentence — last night my sister finally read her lips,"the narrator, her sister, their mother",the message no one wanted to receive,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a dim nursing-home room on a grainy feed,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-107,"I confess I hid a GPS tracker in my husband's car for 6 months; the night I finally checked the history, I found out he had found it first — and where he'd been taking it","the narrator, her husband",surveillance cuts the hand that holds it,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a family sedan and a glowing laptop at midnight,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-108,I'm the IT guy who read the office keylogger reports for 3 years; I confess what I did the day I saw my own name in my boss's search history,"the narrator, his boss",watchers get watched,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",an empty open-plan office after hours,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SUR-109,My sister and I put a camera in dad's house to catch his 'imaginary' night visitor; I confess we deleted the footage we caught and never told him why,"the narrator, her sister, their father",some truths are crueler than the lie,confession_story,16,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a cluttered living room on night-vision green,general audience,FALSE,,,,IDEA,,,,,,,,,
